manifest_id,dataset,business_key,source_row_number,issue_code,rule_category,field_name,notes
DQ-0020,customers,CUST-00020,20,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0021,customers,CUST-00021,21,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0022,customers,CUST-00022,22,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0023,customers,CUST-00023,23,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0024,customers,CUST-00024,24,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0025,customers,CUST-00025,25,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0026,customers,CUST-00026,26,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0027,customers,CUST-00027,27,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0028,customers,CUST-00028,28,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0029,customers,CUST-00029,29,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0030,customers,CUST-00030,30,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0031,customers,CUST-00031,31,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0032,customers,CUST-00032,32,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0033,customers,CUST-00033,33,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0034,customers,CUST-00034,34,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0035,customers,CUST-00035,35,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0036,customers,CUST-00036,36,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0037,customers,CUST-00037,37,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0038,customers,CUST-00038,38,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0039,customers,CUST-00039,39,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0040,customers,CUST-00040,40,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0041,customers,CUST-00041,41,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0042,customers,CUST-00042,42,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0043,customers,CUST-00043,43,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0044,customers,CUST-00044,44,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0045,customers,CUST-00045,45,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0046,customers,CUST-00046,46,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0047,customers,CUST-00047,47,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0048,customers,CUST-00048,48,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0049,customers,CUST-00049,49,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0050,customers,CUST-00050,50,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0051,customers,CUST-09901,9901,CUST_ID_DUPLICATE,uniqueness,customer_id,Original row in duplicate customer_id pair
DQ-0052,customers,CUST-09902,9902,CUST_ID_DUPLICATE,uniqueness,customer_id,Original row in duplicate customer_id pair
DQ-0053,customers,CUST-09903,9903,CUST_ID_DUPLICATE,uniqueness,customer_id,Original row in duplicate customer_id pair
DQ-0054,customers,CUST-09904,9904,CUST_ID_DUPLICATE,uniqueness,customer_id,Original row in duplicate customer_id pair
DQ-0055,customers,CUST-09905,9905,CUST_ID_DUPLICATE,uniqueness,customer_id,Original row in duplicate customer_id pair
DQ-0056,customers,CUST-09906,9906,CUST_ID_DUPLICATE,uniqueness,customer_id,Original row in duplicate customer_id pair
DQ-0057,customers,CUST-09907,9907,CUST_ID_DUPLICATE,uniqueness,customer_id,Original row in duplicate customer_id pair
DQ-0058,customers,CUST-09908,9908,CUST_ID_DUPLICATE,uniqueness,customer_id,Original row in duplicate customer_id pair
DQ-0059,customers,CUST-09909,9909,CUST_ID_DUPLICATE,uniqueness,customer_id,Original row in duplicate customer_id pair
DQ-0060,customers,CUST-09910,9910,CUST_ID_DUPLICATE,uniqueness,customer_id,Original row in duplicate customer_id pair
DQ-0061,customers,CUST-09911,9911,CUST_ID_DUPLICATE,uniqueness,customer_id,Original row in duplicate customer_id pair
DQ-0062,customers,CUST-09912,9912,CUST_ID_DUPLICATE,uniqueness,customer_id,Original row in duplicate customer_id pair
DQ-0063,customers,CUST-09913,9913,CUST_ID_DUPLICATE,uniqueness,customer_id,Original row in duplicate customer_id pair
DQ-0064,customers,CUST-09914,9914,CUST_ID_DUPLICATE,uniqueness,customer_id,Original row in duplicate customer_id pair
DQ-0065,customers,CUST-09915,9915,CUST_ID_DUPLICATE,uniqueness,customer_id,Original row in duplicate customer_id pair
DQ-0066,customers,CUST-09901,10001,CUST_ID_DUPLICATE,uniqueness,customer_id,Appended duplicate customer_id row
DQ-0067,customers,CUST-09902,10002,CUST_ID_DUPLICATE,uniqueness,customer_id,Appended duplicate customer_id row
DQ-0068,customers,CUST-09903,10003,CUST_ID_DUPLICATE,uniqueness,customer_id,Appended duplicate customer_id row
DQ-0069,customers,CUST-09904,10004,CUST_ID_DUPLICATE,uniqueness,customer_id,Appended duplicate customer_id row
DQ-0070,customers,CUST-09905,10005,CUST_ID_DUPLICATE,uniqueness,customer_id,Appended duplicate customer_id row
DQ-0071,customers,CUST-09906,10006,CUST_ID_DUPLICATE,uniqueness,customer_id,Appended duplicate customer_id row
DQ-0072,customers,CUST-09907,10007,CUST_ID_DUPLICATE,uniqueness,customer_id,Appended duplicate customer_id row
DQ-0073,customers,CUST-09908,10008,CUST_ID_DUPLICATE,uniqueness,customer_id,Appended duplicate customer_id row
DQ-0074,customers,CUST-09909,10009,CUST_ID_DUPLICATE,uniqueness,customer_id,Appended duplicate customer_id row
DQ-0075,customers,CUST-09910,10010,CUST_ID_DUPLICATE,uniqueness,customer_id,Appended duplicate customer_id row
DQ-0076,customers,CUST-09911,10011,CUST_ID_DUPLICATE,uniqueness,customer_id,Appended duplicate customer_id row
DQ-0077,customers,CUST-09912,10012,CUST_ID_DUPLICATE,uniqueness,customer_id,Appended duplicate customer_id row
DQ-0078,customers,CUST-09913,10013,CUST_ID_DUPLICATE,uniqueness,customer_id,Appended duplicate customer_id row
DQ-0079,customers,CUST-09914,10014,CUST_ID_DUPLICATE,uniqueness,customer_id,Appended duplicate customer_id row
DQ-0080,customers,CUST-09915,10015,CUST_ID_DUPLICATE,uniqueness,customer_id,Appended duplicate customer_id row
DQ-0081,orders,ORD-0000001,1,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0082,orders,ORD-0000002,2,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0083,orders,ORD-0000003,3,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0084,orders,ORD-0000004,4,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0085,orders,ORD-0000005,5,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0086,orders,ORD-0000006,6,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0087,orders,ORD-0000007,7,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0088,orders,ORD-0000008,8,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0089,orders,ORD-0000009,9,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0090,orders,ORD-0000010,10,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0091,orders,ORD-0000011,11,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0092,orders,ORD-0000012,12,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0093,orders,ORD-0000013,13,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0094,orders,ORD-0000014,14,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0095,orders,ORD-0000015,15,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0096,orders,ORD-0000016,16,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0097,orders,ORD-0000017,17,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0098,orders,ORD-0000018,18,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0099,orders,ORD-0000019,19,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0100,orders,ORD-0000020,20,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0101,orders,ORD-0000021,21,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0102,orders,ORD-0000022,22,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0103,orders,ORD-0000023,23,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0104,orders,ORD-0000024,24,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0105,orders,ORD-0000025,25,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0106,orders,ORD-0000026,26,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0107,orders,ORD-0000027,27,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0108,orders,ORD-0000028,28,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0109,orders,ORD-0000029,29,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0110,orders,ORD-0000030,30,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0111,orders,ORD-0000031,31,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0112,orders,ORD-0000032,32,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0113,orders,ORD-0000033,33,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0114,orders,ORD-0000034,34,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0115,orders,ORD-0000035,35,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0116,orders,ORD-0000036,36,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0117,orders,ORD-0000037,37,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0118,orders,ORD-0000038,38,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0119,orders,ORD-0000039,39,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0120,orders,ORD-0000040,40,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0121,orders,ORD-0000041,41,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0122,orders,ORD-0000042,42,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0123,orders,ORD-0000043,43,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0124,orders,ORD-0000044,44,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0125,orders,ORD-0000045,45,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0126,orders,ORD-0000046,46,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0127,orders,ORD-0000047,47,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0128,orders,ORD-0000048,48,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0129,orders,ORD-0000049,49,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0130,orders,ORD-0000050,50,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0131,orders,ORD-0000051,51,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0132,orders,ORD-0000052,52,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0133,orders,ORD-0000053,53,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0134,orders,ORD-0000054,54,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0135,orders,ORD-0000055,55,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0136,orders,ORD-0000056,56,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0137,orders,ORD-0000057,57,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0138,orders,ORD-0000058,58,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0139,orders,ORD-0000059,59,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0140,orders,ORD-0000060,60,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0141,orders,ORD-0000061,61,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0142,orders,ORD-0000062,62,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0143,orders,ORD-0000063,63,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0144,orders,ORD-0000064,64,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0145,orders,ORD-0000065,65,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0146,orders,ORD-0000066,66,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0147,orders,ORD-0000067,67,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0148,orders,ORD-0000068,68,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0149,orders,ORD-0000069,69,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0150,orders,ORD-0000070,70,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0151,orders,ORD-0000071,71,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0152,orders,ORD-0000072,72,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0153,orders,ORD-0000073,73,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0154,orders,ORD-0000074,74,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0155,orders,ORD-0000075,75,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0156,orders,ORD-0000076,76,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0157,orders,ORD-0000077,77,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0158,orders,ORD-0000078,78,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0159,orders,ORD-0000079,79,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0160,orders,ORD-0000080,80,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0161,orders,ORD-0000081,81,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0162,orders,ORD-0000082,82,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0163,orders,ORD-0000083,83,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0164,orders,ORD-0000084,84,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0165,orders,ORD-0000085,85,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0166,orders,ORD-0000086,86,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0167,orders,ORD-0000087,87,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0168,orders,ORD-0000088,88,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0169,orders,ORD-0000089,89,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0170,orders,ORD-0000090,90,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0171,orders,ORD-0000091,91,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0172,orders,ORD-0000092,92,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0173,orders,ORD-0000093,93,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0174,orders,ORD-0000094,94,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0175,orders,ORD-0000095,95,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0176,orders,ORD-0000096,96,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0177,orders,ORD-0000097,97,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0178,orders,ORD-0000098,98,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0179,orders,ORD-0000099,99,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0180,orders,ORD-0000100,100,ORD_CUST_ID_MISSING,completeness,customer_id,Injected blank customer_id for completeness failure
DQ-0181,orders,ORD-0000101,101,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0182,orders,ORD-0000102,102,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0183,orders,ORD-0000103,103,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0184,orders,ORD-0000104,104,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0185,orders,ORD-0000105,105,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0186,orders,ORD-0000106,106,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0187,orders,ORD-0000107,107,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0188,orders,ORD-0000108,108,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0189,orders,ORD-0000109,109,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0190,orders,ORD-0000110,110,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0191,orders,ORD-0000111,111,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0192,orders,ORD-0000112,112,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0193,orders,ORD-0000113,113,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0194,orders,ORD-0000114,114,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0195,orders,ORD-0000115,115,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0196,orders,ORD-0000116,116,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0197,orders,ORD-0000117,117,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0198,orders,ORD-0000118,118,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0199,orders,ORD-0000119,119,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0200,orders,ORD-0000120,120,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0201,orders,ORD-0000121,121,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0202,orders,ORD-0000122,122,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0203,orders,ORD-0000123,123,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0204,orders,ORD-0000124,124,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0205,orders,ORD-0000125,125,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0206,orders,ORD-0000126,126,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0207,orders,ORD-0000127,127,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0208,orders,ORD-0000128,128,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0209,orders,ORD-0000129,129,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0210,orders,ORD-0000130,130,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0211,orders,ORD-0000131,131,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0212,orders,ORD-0000132,132,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0213,orders,ORD-0000133,133,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0214,orders,ORD-0000134,134,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0215,orders,ORD-0000135,135,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0216,orders,ORD-0000136,136,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0217,orders,ORD-0000137,137,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0218,orders,ORD-0000138,138,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0219,orders,ORD-0000139,139,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0220,orders,ORD-0000140,140,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0221,orders,ORD-0000141,141,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0222,orders,ORD-0000142,142,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0223,orders,ORD-0000143,143,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0224,orders,ORD-0000144,144,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0225,orders,ORD-0000145,145,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0226,orders,ORD-0000146,146,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0227,orders,ORD-0000147,147,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0228,orders,ORD-0000148,148,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0229,orders,ORD-0000149,149,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0230,orders,ORD-0000150,150,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0231,orders,ORD-0000151,151,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0232,orders,ORD-0000152,152,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0233,orders,ORD-0000153,153,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0234,orders,ORD-0000154,154,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0235,orders,ORD-0000155,155,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0236,orders,ORD-0000156,156,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
DQ-0237,orders,ORD-0000157,157,ORD_PROD_ID_MISSING,completeness,product_id,Injected blank product_id for completeness failure
